username,score,badges
abel,50,Rising Star
abel,50,Rising Star
abel,50,Rising Star
abel,75,Skill Pro
abel,65,Rising Star
abel,65,Rising Star
abel,65,Rising Star
abel,65,Rising Star
abel,65,Rising Star
abel,65,Rising Star
abel,65,Rising Star
abel,70,Rising Star
ron ,75,Skill Pro
riya,75,Skill Pro
ron,75,Skill Pro
ron,75,Skill Pro
ron,75,Skill Pro
ron,75,Skill Pro
ron,75,Skill Pro
ron,75,Skill Pro
ron,75,Skill Pro
ron,70,Rising Star
ron,70,Rising Star
ron,70,Rising Star
ron,70,Rising Star
ron,70,Rising Star
ron,70,Rising Star
ron,70,Rising Star
